NC_001422.1,Phage_F
NC_029028.1,PTPS Phage_HK97_TLTM QueC dUTPase DUF1983 Ig_3 DUF2514 phage_tail_N AAA_24 DUF4055 GATase_7 HNH_3 GATase_6 Fer4_14 Peptidase_S74 GTP_cyclohydroI DUF4128 Helicase_C DUF669 DNA_ligase_A_M ResIII RNase_H Phage-tail_3
NC_028950.1,Muraidase phiKZ_IP DNA_ligase_ZBD DUF4326 DUF3307 DNA_ligase_OB SLT HHH_5 DUF1353 Laminin_G_3 RNA_pol_Rpb2_6 Thymidylate_kin RNA_pol_Rpb1_2 PG_binding_1 RNase_H DNA_ligase_aden Ribonuc_red_sm Thymidylat_synt Ribonuc_red_lgC Glyco_hydro_19 DUF2493 HicB_lk_antitox Radical_SAM QueC AAA Fer4_12 Glutaredoxin BRCT DHFR_1 Cupin_2 HHH_2 2OG-FeII_Oxy_5 Ribonuc_red_lgN
NC_028955.1,Glyco_transf_25 Peptidase_S77 Cupin_2 T4-gp15_tss Translat_reg Gp23 ADH_zinc_N Ribonuc_red_sm T4_Gp59_N UDPG_MGDP_dh Helicase_C T4_neck-protein N6_N4_Mtase PfkB Epimerase MazG TAL_FSA HSP20 PhoH Glutaredoxin AAA DUF4385 ADH_N Terminase_6C 2OG-FeII_Oxy_5 Sm_like Fer4_10 Phage_clamp_A Photo_RC NAD_synthase gp45-slide_C Phage_sheath_1 T4_baseplate ResIII CP12 MethyltransfD12 PsaA_PsaB YHYH DUF3293 DNA_Packaging DUF3110 Phage_sheath_1C NifU DoxX gp32 AAA_5 DnaB_C Glyco_trans_1_2 T4_Gp59_C adh_short DNA_pol_B_exo1 AdoMet_dc PMM SNase Ribonuc_red_lgC Phage-Gp8 Phage_gp53 Tn7_Tnp_TnsA_N Glyco_transf_11 Glycos_transf_2 Terminase_6 SMC_N UDPG_MGDP_dh_N PDDEXK_1 Fer4_7 Peptidase_S74 UvsY GPW_gp25 CTP_transf_like RecA ATP-cone Peptidase_S80 Thy1 Ribonuc_red_lgN Gp5_OB Glycolytic DUF3310 DUF1825 DUF4815 DNA_pol_B Transket_pyr E1_dh
NC_028917.1,DUF3269 Phage_Mu_F DUF2977 DUF4355 DUF2479 Phage_integrase Glucosaminidase DUF3168 DUF3310 Lipase_GDSL dUTPase_2 Terminase_6 CHAP DUF1108 DUF3113 HTH_3 Phage_int_SAM_5 Phage_int_SAM_3 PVL_ORF50 RinB HNHc_6 IstB_IS21 Phage_prot_Gp6 DUF2951 DUF1381 DUF1064 Bro-N HK97-gp10_like Amidase_2 ANT Lipase_GDSL_2 Phage_Mu_Gam Prophage_tail Phage_XkdX Phage_Orf51 Phage_capsid Sipho_tail Terminase_2 SH3_5 Arm-DNA-bind_4 Phage_TAC_12 Phage_rep_org_N DUF1024 AAA_24
NC_028873.1,Corona_RPol_N AAA_30 Corona_M nsp9 NSP10 Viral_protease NSP11 Corona_S2 Corona_NSP4_C NSP13 NAR Peptidase_C30 Macro Spike_rec_bind nsp8 NS3_envE Viral_helicase1 Corona_nucleoca nsp7
NC_028858.1,Corona_RPol_N nsp8 NSP10 AAA_30 NAR Corona_S2 NSP13 Corona_nucleoca NSP11 Peptidase_C30 Macro nsp9 Viral_helicase1 Corona_M Corona_NSP4_C Spike_rec_bind Viral_protease nsp7
NC_028811.1,Corona_S1 Corona_NSP4_C Viral_helicase1 NSP10 Corona_S2 NS3_envE Viral_protease AAA_30 AAA_12 Corona_M Corona_NS3b Corona_nucleoca nsp8 NSP11 Macro Corona_RPol_N Peptidase_C30 nsp9 NSP13 nsp7
NC_028771.1,Corona_S1 NSP11 Corona_RPol_N nsp7 Peptidase_C30 NS3_envE NSP13 AAA_12 Corona_M Corona_NSP4_C nsp8 Viral_protease Corona_S2 NSP10 AAA_30 Viral_helicase1 nsp9 Corona_NS3b Corona_nucleoca Macro
NC_029038.1,RdRP_1 RNA_helicase
NC_029000.1,AAA gp45-slide_C Phage_RpbA DNA_Packaging Phage_lysozyme Helicase_C Phage_sheath_1N RNaseH_C Phage_holin_T T4_neck-protein ADPrib_exo_Tox Phage_DsbA MotA_activ Phage_T4_gp19 Phage-tail_1 Glutaredoxin YqeY T5orf172 DNA_topoisoIV DUF2685 HATPase_c WYL_2 Ribonuc_red_lgC Cpn10 Peptidase_S74 N_methyl MotCF Band_7 NRDD Phage_T4_gp36 Amino_oxidase T4-gp15_tss DNA_gyraseB Peptidase_S80 Gp5_C Trans_coact DNA_ligase_A_M DUF2774 Phage_hub_GP28 T4_baseplate Phage_head_chap Thioredoxin AAA_23 Ribonuc_red_sm TK PAAR_motif UvrD_C_2 AAA_30 Endonuc-dimeris Phage_tail_NK Phage_gp53 Phage_sheath_1 SprT-like T4_Gp59_C Phage_sheath_1C dCMP_cyt_deam_1 Metallophos TM2 T4_Gp59_N GP11 NAPRTase GIY-YIG Nuc-transf DnaB_C Terminase_6C AAA_33 NAD_binding_8 UDPG_MGDP_dh_N Gp5_OB NUDIX T4_tail_cap DAO Gp45_2 Phage_clamp_A NUMOD3 ALP GLF Phage-tail_2 Translat_reg Endonuclease_7 Phage_30_3 DUF2654 Peptidase_S77 DNA_pol_B gp32 Gp67 ResIII Terminase_6 TOPRIM_C AsiA Fibritin_C DUF1190 DNA_pol_B_exo1 RNA_ligase GPW_gp25 FAD_binding_3 UvsW HD_4 DHFR_1 Pyr_excise Phage-Gp8 5_3_exonuc_N Gp23 T4_gp9_10 DUF5051 Thymidylat_synt RNA_lig_T4_1
NC_029031.1,DNA_pol_A Toprim_2 5_3_exonuc_N Toprim_4 Phage_endo_I RNA_pol Collagen DnaB_C HNH PRA-PH Head-tail_con Peptidase_S74 Phage_T7_tail RPOL_N Tube Phage_integrase
NC_028835.1,GcrA UPF0547 ORF6N Amidase_2 Pox_D5 DUF1492 Terminase_6 DUF4355 AAA_24 D5_N DUF1064 Phage_connect_1 Intein_splicing Sipho_tail DUF3168 ResIII Phage_Mu_F AntA Sipho_Gp157 HNH_3 Phage_holin_6_1 Phage_tail_2 NUMOD4 Phage_prot_Gp6 Phage_TAC_12 Phage_cap_E Helicase_C VRR_NUC HTH_3 DUF669
NC_028759.1,Phage_int_SAM_3 HNH DUF4406 Phage_capsid Phage_prot_Gp6 SprT-like DUF4352 D5_N Glutaredoxin Abhydrolase_1 Terminase_6 DUF2637 PG_binding_1 Amidase_2 HTH_17 Whib Phage_integrase RusA Phage_CI_repr RNase_T
NC_028874.1,Glutaredoxin GP24_25 Recombinase Beta-lactamase Toprim_2 Peptidase_M15_4 PDDEXK_1 DNA_pol_A AAA_25 Gp63 Gp79 Endonuclease_7 Imm_superinfect Phage_Gp19 Gp52 Gp44 Terminase_1 Phage_prot_Gp6 Resolvase DNA_pol_A_exo1 Phage_capsid DUF2744
NC_028932.1,DNA_pol_A MazG PDDEXK_1 Gp52 Phage_holin_7_1 Gp63 Phage_integrase Phage_prot_Gp6 GP88 Gp68 Endonuclease_7 Phage_capsid Gp44 DUF4417 HTH_17 Metallophos Cutinase Toprim_2 DUF2744 Ribonuc_red_lgC Phage_Gp19 Gp79 DUF2786 GP24_25 DnaB_C Glutaredoxin Thy1 DUF2637 DUF2746 DNA_pol_A_exo1 DUF2493 GP70
NC_028778.1,DUF3310 Phage_prot_Gp6 DnaB NAPRTase DUF4355 HTH_3 Big_2 HNH_3 DUF2828 RNA_ligase SSB AAA_33 Nuc-transf DnaB_C P22_CoatProtein Phage_int_SAM_3 Phage_holin_7_1 DUF4417 Lsr2 CLP_protease RNase_H_2 Phage_integrase Metallophos ERF Peptidase_M15_4 AAA_5 Whib DUF3846 HTH_17
NC_028869.1,Thy1 Cutinase DNA_pol3_alpha RusA IstB_IS21 Toprim_2 Baseplate_J NLPC_P60 Iron_permease Beta-lactamase HNH HHH_6 Pkinase Acid_phosphat_B ResIII HTH_37 Glycos_transf_2 Amidase_2 LysM Nuc-transf RecA AAA_28 Adenylsucc_synt DnaB_C Band_7 RF-1 Helicase_C Aminotran_3 PHP TROVE
NC_028784.1,DNA_pol_A_exo1 Phage_capsid Peptidase_M15_4 Imm_superinfect PDDEXK_1 DUF2744 Beta-lactamase Phage_Gp19 Endonuclease_7 Gp52 Metallophos N6_N4_Mtase GP24_25 Resolvase Gp44 HNH Glutaredoxin Gp79 Recombinase AAA_25 Toprim_2 Gp63 Phage_prot_Gp6 DNA_pol_A
NC_028844.1,HTH_31 HK97-gp10_like HTH_23 P22_CoatProtein GIY-YIG Whib Phage_prot_Gp6 Beta-lactamase DUF732 Phage_integrase Amidase_2 HTH_17 ANT HNH_3 Phage_r1t_holin DUF1508 Glyco_transf_25 DUF2746 Phage_int_SAM_3 HNH_5
NC_028952.1,Amidase_2 Beta_helix NUDIX RuvC Pectate_lyase_3 DUF5051 HDPD HATPase_c_2 PhageMin_Tail DUF1073 RNase_T HTH_31 Collagen Radical_SAM Prim-Pol Phage_Mu_F Phage_r1t_holin Phage_integrase Terminase_3 SLT Phage_cap_E Phage-tail_3 HTH_3 B12-binding Terminase_3C Phage_prot_Gp6 Thymidylate_kin LysM
NC_028786.1,DUF2184 DUF2213 Prim_Zn_Ribbon GP3_package DUF4128 Acid_phosphat_B Phage_lysozyme ERF Dam Terminase_6C Prok-JAB Helicase_C Tape_meas_lam_C DUF4054 DUF3987 Phage_Mu_F Phage_min_tail NLPC_P60 Phage_tail_3 DUF1983 DUF1073 DUF550 VRR_NUC Phage_tail_L Sigma70_r4_2 DUF3799 TMP_2 Phage_TAC_4 Lambda_tail_I
NC_028926.1,Peptidase_M15_4 Phage_holin_4_1 Terminase_6C Terminase_2 Beta_helix IstB_IS21 HNH NLPC_P60 RecT Lactamase_B_2 SSB Peptidase_M14 Phage_gp49_66 AAA_23 FtsK_SpoIIIE Replic_Relax PG_binding_1 Terminase_6 Head-tail_con SLT Sigma70_r2 dUTPase_2 HTH_3 DnaB_2
NC_028841.1,YopX Recombinase DUF4065 Holin_BhlA Phage_cap_E Phage_GPD Tail_P2_I DUF3751 HTH_3 Amidase_2 Phage_P2_GpU DnaB_C Lactamase_B_2 Resolvase Zn_ribbon_recom GPW_gp25 ANT Baseplate_J RelA_SpoT Bro-N Minor_tail_Z Pmp3 DNA_methylase HDPD Phage_portal_2 Phage_base_V Terminase_GpA DnaB RecT CLP_protease HTH_26 HicB_lk_antitox Phage_TAC_7 HicA_toxin AAA_23 Dam Phage_tube
NC_028768.1,DUF1983 DUF2815 NLPC_P60 DUF1833 DNA_pol_A Thymidylat_synt PriCT_2 dCMP_cyt_deam_1 DUF4055 PRA-PH Tape_meas_lam_C Peptidase_M15_3 Prim-Pol DUF2800 Phage-tail_3 Helicase_C
NC_028933.1,Toprim_2 Terminase_6C DnaB_C GATase_6 GGACT DNA_pol_A Terminase_6 DUF5309 COOH-NH2_lig
NC_028940.1,Helicase_C DNA_PPF Gp5_C gp37_C DUF2654 DUF2685 Ribonuc_red_lgN DNA_Packaging Terminase_6C ILEI Phage_30_8 dCMP_cyt_deam_1 UvsY RNaseH_C Phage_T4_Gp30_7 AAA_30 Macro SIS GP57 Phage_sheath_1C T4_Gp59_N ATP-cone T4_tail_cap DNA_ligase_A_M gp45-slide_C Phage_head_chap Phage_sheath_1N Phage_holin_T Endonuclease_7 T4_baseplate Phage_sheath_1 Endonuc-dimeris Phage-tail_1 TK Gp45_2 RNA_lig_T4_1 ResIII MotCF Phage_clamp_A Trans_coact Soc MotA_activ Gp23 Phage_RpbA Metallophos ALP Phage_lysozyme Phage_T4_gp36 5_3_exonuc_N Ribonuc_red_lgC Phage_hub_GP28 GIY-YIG Translat_reg S_tail_recep_bd Glutaredoxin DUF5051 zf-dskA_traR HNH DNA_pol_B_exo1 Peptidase_S77 UvrD_C_2 GP11 WYL_2 Phage_T4_gp19 Phage_DsbA DUF5487 RNA_ligase AsiA CM_2 Terminase_6 DnaB_C Phage-tail_2 ADPrib_exo_Tox T4-gp15_tss DHFR_1 DNA_pol_B UvsW DUF5491 Phage_T4_Ndd DUF5498 RecA DUF5484 DUF4326 NUDIX AAA_33 Phage-Gp8 Phage_gp53 Gp5_OB DNA_topoisoIV Phage_30_3 gp12-short_mid Pyr_excise T4_Gp59_C REGB_T4 DUF3045 T4_gp9_10 Cpn10 Ribonuc_red_sm DUF2774 Thymidylat_synt NTP_transferase AAA Gp67 T4_neck-protein Peptidase_U32 HATPase_c_3 FRD2 GPW_gp25 Fibritin_C Nuc-transf DUF5486 gp32 Peptidase_S80 Inhibitor_I24 AAA_23 HATPase_c DNA_gyraseB
NC_028912.1,Ribonuc_red_lgC HTH_38 Thy1 DUF2637 Peptidase_M15_4 Gp68 DNA_pol_A PDDEXK_1 DUF2744 Phage_capsid PG_binding_1 Metallophos Zn_ribbon_recom Endonuclease_7 Phage_prot_Gp6 DnaB_C Terminase_1 DUF2746 GP24_25 Resolvase dCMP_cyt_deam_1 Gp52 Recombinase Phage_Gp19 DNA_pol_A_exo1 Toprim_2
NC_028773.1,Peptidase_S74 Ribonuc_red_lgC CTP_transf_like Ribonuc_red_sm Phage_sheath_1 DNA_ligase_A_M DNA_gyraseB ResIII DUF2828 RNaseH_like zf-dskA_traR GPW_gp25 AAA_23 Gp5_C gp45-slide_C 5_3_exonuc_N Endonuclease_7 Phage_T4_gp19 T4_neck-protein RNA_lig_T4_1 Nuc-transf AsiA Phage_30_3 DNA_pol_B Ribonuc_red_lgN Phage_head_chap Terminase_6 dCMP_cyt_deam_1 Gp5_OB ATP-cone SprT-like NAPRTase DUF4326 ALP AAA_33 Terminase_6C Cpn10 UvsY ADPrib_exo_Tox RNA_ligase Metallophos DNA_topoisoIV Endonuc-dimeris DUF5051 MethyltransfD12 GP38 Phage_DsbA Phage_sheath_1C Trans_coact T4_gp9_10 Imm_superinfect RecA T4_baseplate Phage_lysozyme Macro UvsW DUF2685 NUDIX Helicase_C DUF2654 Phage_T4_gp36 TK NRDD WYL_2 T4-gp15_tss DNA_Packaging HATPase_c ADP_ribosyl_GH PTR GP11 AAA_30 AAA RNaseH_C T4_Gp59_N Gp23 Gly_radical Phage-Gp8 Thymidylat_synt PolyA_pol DNA_pol_B_exo1 DHFR_1 DnaB_C Phage_clamp_A DNA_PPF Phage_30_8 Peptidase_S80 T4_Gp59_C T4_tail_cap Phage_gp53 Phage_sheath_1N Translat_reg Phage_T4_Gp30_7 Gp45_2 gp32 Peptidase_S77 dUTPase LysM Lipase_GDSL_2
NC_028995.1,dCMP_cyt_deam_1 PAPS_reduct Glyco_hydro_19 DUF3383 Phage_Mu_F ERF Baseplate_J Terminase_3 YqaJ DUF1073 ANT Phage_pRha Terminase_2 DUF4054 DUF3310 Imm_superinfect Terminase_3C SSB DUF2184 DUF2612 Phage_Mu_Gp45 DUF1376 DUF2213 dUTPase
NC_028770.1,DAO SNF2_N DNA_ligase_OB_2 Terminase_6 DUF2163 DUF2793 DNA_pol_A DNA_ligase_A_M DUF4128 Acetyltransf_1 Thymidylat_synt PRA-PH CHAP DUF4326 Ribonuc_red_sm QSregVF_b PhoH DUF4055 Phage_TAC_4 dCMP_cyt_deam_1 HTH_31 AAA_30 DUF3489 UvrD_C_2 Phage_BR0599 Helicase_C Ribonuc_red_lgC Phage_Mu_F Phage-tail_3
NC_028801.1,Peptidase_M23 Terminase_6 ResIII Prim-Pol RuvC DUF1360 Phage_Mu_F AAA_25 Helicase_C DNA_pol_A PG_binding_1 Amidase_2 HTH_31
NC_028822.1,DUF2675 DUF5476 Phage_T7_tail Phage_1_1 DUF5471 BC10 DUF2717 Toprim_2 DUF2745 DNA_ligase_A_M Head-tail_con Phage_T7_Capsid DNA_Packaging_2 DUF3310 Tube RPOL_N Toprim_4 RNA_pol SLT Phage_holin_2_2 VirionAssem_T7 Phage_lysis DUF2833 Amidase_2 DnaB_C RNA_pol_inhib Phage_endo_I TA_inhibitor DNA_pol_A
NC_028853.1,Phage_lysozyme Terminase_3 rve DUF1073 HicA_toxin Terminase_2 HicB_lk_antitox YqaJ TMP_2 HTH_28 Terminase_3C DUF1367 Phage_rep_O NinG Linocin_M18 Phage_tail_L Phage-tail_3 MazG Prok-JAB Phage_min_tail DUF1983 HigB-like_toxin Phage_tail_2 DUF2570 Phage_Mu_F HTH_3 Phage_CII DnaB DnaB_C Peptidase_S24 NLPC_P60 MT-A70 RecT HTH_29 Lambda_tail_I Phage_integrase DUF551
NC_028894.1,Phage_gp53 RNaseH_C Gp45_2 AAA ILEI T4_gp9_10 RNA_lig_T4_1 GPW_gp25 UvsY T4_tail_cap DUF4326 Phage_T4_gp36 dCMP_cyt_deam_1 Nuc-transf DNA_topoisoIV GP11 DUF5051 RNA_ligase Soc DUF5491 Phage_30_3 Zn-ribbon_8 TK DUF5487 Phage_clamp_A Phage_holin_T DUF3045 Phage_sheath_1N DNA_Packaging Phage_DsbA DnaB_C AAA_33 Dmd AsiA T4_Gp59_N DUF2685 gp12-short_mid Imm_superinfect ATP-cone Thymidylat_synt GIY-YIG gp45-slide_C DUF5484 Phage-Gp8 REGB_T4 UvsW ALP motB Macro Peptidase_S80 DUF5495 RecA DUF2654 Terminase_6C Peptidase_S77 T4_baseplate MotCF Phage_T4_Gp30_7 Metallophos AAA_30 GP38 Translat_reg HTH_7 Phage_lysozyme Phage_T4_Ndd S_tail_recep_bd ADPrib_exo_Tox DNA_gyraseB DUF5490 PAAR_motif Phage_sheath_1C Glutaredoxin Phage_T4_gp19 AAA_23 Ribonuc_red_lgN Phage_sheath_1 DUF5417 DUF2774 DNA_ligase_A_M MotA_activ T4_Gp59_C WYL_2 Phage-tail_2 Phage_FRD3 5_3_exonuc_N gp32 Helicase_C DUF5498 Gp5_OB TOPRIM_C Phage_hub_GP28 DUF5499 Ribonuc_red_sm Phage_head_chap Fer4_12 NUDIX Gp67 ResIII Ribonuc_red_lgC zf-dskA_traR DHFR_1 Phage_30_8 FRD2 T4_neck-protein DNA_PPF DNA_pol_B_exo1 GP57 Fibritin_C Phage-tail_1 Peptidase_S74 T4-gp15_tss NRDD UvrD_C_2 Endonuc-dimeris Terminase_6 Trans_coact Endonuclease_7 Pyr_excise Phage_RpbA HATPase_c Gp23 Cpn10 DNA_pol_B DUF5486
NC_028877.1,Endonuclease_7 Glutaredoxin Phage_capsid Thy1 Metallophos Phage_holin_7_1 DnaB_C DUF4417 Gp79 PDDEXK_1 DNA_pol_A_exo1 Ribonuc_red_lgC Peptidase_M15_4 DUF2786 DNA_pol_A GP24_25 GP70 Toprim_2 HTH_17 DUF2744 Gp52 Gp68 Phage_Gp19 Abhydrolase_1 DUF2637 Gp63 Phage_prot_Gp6 DUF2746 Phage_integrase
NC_029022.1,Phage_rep_org_N DUF2001 Phage_sheath_1N Phage_holin_5_2 Phage_Mu_Gam DUF739 Phage_connect_1 ERF DUF2634 Phage_sheath_1C Baseplate_J Resolvase HTH_3 Ferritin Recombinase HTH_19 DUF2313 Phage_Mu_F Phage_fiber_2 YjzC Phage_sheath_1 HK97-gp10_like LysM Phage_GP20 Bro-N Phage_prot_Gp6 Toxin-deaminase RNase_T Peptidase_M78 Phage_TAC_5 Terminase_6C XhlA ANT Glucosaminidase Terminase_6 DUF1064 DUF2577
NC_028958.1,HTH_19 PhageMin_Tail AAA_31 Amidase_3 Phage_integrase SSB Phage_min_cap2 Phage_Gp15 ResIII Phage_terminase Phage_gp49_66 Sipho_tail Prophage_tail DUF3797 Resolvase DUF4236 Minor_capsid_2 Terminase_3 Phage_prot_Gp6
NC_028883.1,DUF2313 DUF2577 RHH_3 BetR NLPC_P60 ERF Phage_integrase YopX Terminase_3C LysM ANT DUF2001 Phage_sheath_1N Phage_GP20 Sipho_Gp157 Phage_sheath_1 HTH_17 Phage_pRha DUF2634 Amidase_3 Phage_int_SAM_3 Phage_sheath_1C HTH_26 DUF3751 HTH_3 Baseplate_J DUF4352 Bro-N Penicillinase_R SSB DnaB_2 Phage_holin_5_2 Phage_TAC_5 HK97-gp10_like Arm-DNA-bind_4 Terminase_3 Phage_Mu_F Ntox50 Phage_prot_Gp6 Glucosaminidase DUF1064
NC_028772.1,RPOL_N RNA_pol TA_inhibitor Amidase_2 DNA_ligase_A_M DUF2833 Phage_holin_2_2 Phage_T7_Capsid DUF2717 Tube DnaB_C Toprim_4 DUF5476 DNA_pol_A Phage_T7_tail Phage_lysis BC10 Beta_helix SLT RNA_pol_inhib Toprim_2 Phage_endo_I VirionAssem_T7 DNA_Packaging_2 DUF5471 Head-tail_con DUF3310
NC_028819.1,N6_N4_Mtase YqaJ DUF1073 ResIII Helicase_C PriCT_2 MazG Terminase_3 DUF2591 DUF551 Phage_Mu_F Prim-Pol NLPC_P60 TMP_2 GP3_package AAA_24
NC_029021.1,DUF2514 PTPS Caudo_TAP RNase_H phage_tail_N DUF4055 DUF3672 AAA_24 DUF1983 DUF669 GATase_6 QueC HNH_3 DNA_ligase_A_M Ig_3 dUTPase Fer4_14 ResIII Phage-tail_3 DUF4128 Helicase_C Phage_HK97_TLTM GATase_7 GTP_cyclohydroI Phage_holin_3_3 Collar
NC_029020.1,Phage_integrase PAPS_reduct AAA_5 RHH_1 Glycos_transf_2 GtrA AAA
NC_029007.1,SLT Ribosomal_L12 Head-tail_con Toprim_2 Tube Peptidase_S74 Phage_T7_tail RNA_pol RPOL_N RNase_H_2 Phage_lysozyme DNA_pol_A DNA_ligase_OB_2 AAA_25 Endonuclease_7 DNA_ligase_A_M MazG
NC_028867.1,Mononeg_mRNAcap Methyltrans_Mon Mononeg_RNA_pol
NC_028884.1,Viral_protease NSP11 NAR nsp8 Spike_rec_bind Corona_RPol_N NS3_envE Corona_NSP4_C Corona_nucleoca Viral_helicase1 NSP10 NSP13 Macro nsp9 Corona_S2 Peptidase_C30 Corona_M AAA_30 nsp7
NC_028909.1,NAR Spike_rec_bind AAA_19 AAA_11 Corona_NSP4_C Peptidase_C30 Viral_protease Corona_M NSP11 Viral_helicase1 NS3_envE AAA_12 Corona_S2 NSP10 Corona_RPol_N Corona_nucleoca nsp7 nsp8 nsp9 AAA_30 NSP13 Macro RdRP_1
NC_028839.1,Corona_nucleoca Corona_S2 Corona_NS3b nsp9 Viral_protease nsp7 NSP11 Corona_NSP4_C Corona_RPol_N AAA_30 Macro NSP13 Peptidase_C30 Corona_M Corona_S1 Viral_helicase1 NSP10 nsp8 AAA_12
NC_028797.1,Corona_M Corona_NS3b Corona_RPol_N nsp8 Peptidase_C30 Corona_nucleoca Macro NS3_envE nsp7 NSP10 Viral_protease AAA_30 Corona_S2 Corona_NSP4_C NSP11 nsp9 Corona_S1 Viral_helicase1 NSP13 AAA_12
NC_028988.1,Tube Endonuclease_7 Ribosomal_L12 RPOL_N Toprim_2 Phage_T7_tail AAA_25 SLT DNA_pol_A Head-tail_con Phage_lysozyme RNA_pol DNA_ligase_A_M Caudo_TAP DNA_ligase_OB_2 RNase_H_2
NC_028985.1,Gemini_coat Gemini_AL1_M Gemini_AL1 Gemini_AL3
NC_005056.1,ParBc Phage_GPD GPW_gp25 Phage_tube Phage_P2_GpU Phage_fiber_2 Phage_tail_S Phage_term_smal DUF2732 Terminase_5 PhageMin_Tail Phage_GPL Ogr_Delta DUF5405 Phage_lysozyme Phage_holin_3_2 Caudo_TAP Phage_base_V Terminase_6C zf-dskA_traR Terminase_6 Phage_TAC_7 Phage_tail_X HTH_3 Phage_cap_P2 DUF3850 Phage_Cox Phage_sheath_1C Phage_portal DNA_methylase Phage_GPA HTH_23 Tail_P2_I P2_Phage_GpR Baseplate_J DUF3751 Phage_GPO Phage_integrase Phage_sheath_1
NC_028830.1,Sigma70_r4 Phage_connect_1 DUF771 HTH_26 Prophage_tail Peptidase_M78 Abi_2 DnaB_2 Phage_pRha Phage_capsid RecT CLP_protease Terminase_1 Phage_integrase RusA Amidase_5 Gp58 Phage_int_SAM_5 HTH_3 HNH_3 Phage_H_T_join Phage_portal Phage_holin_6_1 IstB_IS21 YqaJ HNH Phage_holin_1
NC_028821.1,Prophage_tail Phage_H_T_join Peptidase_M23 DUF4393 Terminase_4 DUF3644 CRISPR_Cas2 PhageMin_Tail RinB Gamma_PGA_hydro Peptidase_M14 Phage_connect_1 HTH_26 Sipho_tail SH3_5 DUF2829 Spo0M DUF3269 DUF1093 AntA Amidase_2 Peptidase_S24 Phage_holin_1 dUTPase CHAP SSB ANT DUF2479 DnaB_2 DUF1514 RecT RusA Phage_TTP_1 HTH_3 AAA_23 Phage_capsid Terminase_1 Peptidase_S78 Phage_portal PGA_cap
NC_028960.2,Thy1 PDDEXK_1 Peptidase_M15_4 DUF2744 DUF2746 GP24_25 Gp68 Ribonuc_red_lgC ArdA DNA_pol_A_exo1 DUF2637 Phage_prot_Gp6 DnaB_C HTH_38 Resolvase dCMP_cyt_deam_1 Toprim_2 Phage_Gp19 Metallophos Terminase_1 Recombinase PG_binding_1 Endonuclease_7 Phage_capsid DNA_pol_A Gp52 Zn_ribbon_recom
NC_028817.1,DNA_ligase_A_M AAA_33 DUF3383 Ribonuc_red_lgN Phage_cap_E Macro RNA_ligase Toprim_2 SprT-like Terminase_6C Hydrolase_2 Pribosyltran_N Phage_tail_APC Terminase_6 Ribonuc_red_sm dCMP_cyt_deam_1 HTH_37 Peptidase_S78_2 AAA_25 CLP_protease RNA_lig_T4_1 DUF3277 Metallophos_2 NAPRTase Ribonuc_red_lgC Muraidase ATPase DUF2612 Thy1 Metallophos
NC_028910.1,N6_N4_Mtase Whib DUF2746 Amidase_2 Helicase_C Phage_integrase GIY-YIG DNA_methylase HTH_28 HK97-gp10_like Phage_int_SAM_3 APH DUF732 Phage_r1t_holin HTH_17 P22_CoatProtein HTH_31 Glyco_transf_25 Phage_prot_Gp6 Beta-lactamase
NC_028843.1,Nuc-transf CLP_protease HTH_3 ERF Phage_int_SAM_3 RNase_H_2 Phage_holin_7_1 P22_CoatProtein Lsr2 Metallophos Phage_prot_Gp6 DnaB_C Whib RNA_ligase Big_2 AAA_5 Phage_integrase HTH_17 HNH_3 DUF4417 DUF4355 DnaB Peptidase_M15_4 DUF3846 NLPC_P60 AAA_33 NAPRTase RusA DUF2828 DUF3310 SSB
NC_028810.1,Gp52 Gp79 N6_N4_Mtase Phage_Gp19 Gp63 GP24_25 DUF2744 Imm_superinfect Recombinase Peptidase_M15_4 AAA_25 PDDEXK_1 DNA_pol_A_exo1 DNA_pol_A PTR Resolvase Phage_prot_Gp6 Beta-lactamase Glutaredoxin Endonuclease_7 HNH Toprim_2 Phage_capsid
NC_028946.1,HNH_5 Helicase_C DNA_methylase DUF5131 DUF2746 Bro-N Beta-lactamase HTH_17 ANT DUF732 HTH_31 Phage_int_SAM_3 HK97-gp10_like N6_N4_Mtase P22_CoatProtein Whib Amidase_2 GIY-YIG Glyco_transf_25 APH Phage_integrase Phage_prot_Gp6 Phage_r1t_holin
NC_028805.1,Ribonuc_red_lgC HTH_36 Peptidase_M23 RNA_ligase Laminin_G_3 Phage_int_SAM_4 RecA Helicase_C Thy1 LAGLIDADG_3 DNA_pol_A RCC1 3D PDDEXK_1 Sigma70_r2 Phage_Mu_Gam RCC1_2 zf-CHC2 DNA_pol_A_exo1 GerE Bac_DNA_binding SLH SLT Amidase_2 DnaB_C DNA_ligase_OB_2 Metallophos Phage_integrase RTP Peptidase_M42 HTH_3 DnaA_N DUF3846 SNF2_N Phage_int_SAM_1 RNase_T NT5C DNA_ligase_A_M TK Thioredoxin Toprim_2 RuvC DUF1385 PRA-PH RtcB
